id,service_provider_id,sku_id,price,discount,final_price,availability,updated_at
42cf8431-d19b-4dbe-a1b6-c2f42b8e79d4,02df916f-c258-4458-9bfd-eb50c6380a7b,1f136305-c1ae-4363-9e0e-7d0969dd14b5,387,95,292,TRUE,2026-03-31T23:46:40.129Z
824aa9b8-d22d-4e51-9235-4b9cd2599a4f,02df916f-c258-4458-9bfd-eb50c6380a7b,29e6c951-6347-4ef1-b88f-6f262c771672,171,30,141,TRUE,2026-03-31T23:46:40.129Z
d3d75627-4d9f-45f5-bd8b-74188d6a7f87,02df916f-c258-4458-9bfd-eb50c6380a7b,2b9cf7f7-7d7e-4983-bb7a-f296f7ebf54c,549,42,507,TRUE,2026-03-31T23:46:40.129Z
731d492e-32dc-473c-a710-48a6eecdd6c1,02df916f-c258-4458-9bfd-eb50c6380a7b,4e3aec72-08a2-4fbe-b8e2-006dc47499db,77,58,19,TRUE,2026-03-31T23:46:40.129Z
1285c3dd-40b4-474f-8c65-d9252d71df2f,02df916f-c258-4458-9bfd-eb50c6380a7b,6338f439-2e6b-48c2-878e-05a780b55c98,145,71,74,TRUE,2026-03-31T23:46:40.129Z
26d94efd-d21c-4d01-9d1f-29e17f69ace0,02df916f-c258-4458-9bfd-eb50c6380a7b,6d53b373-98a4-4ad7-8815-9f47d5ca7ee8,631,69,562,TRUE,2026-03-31T23:46:40.129Z
f06c3edc-42f6-4b88-8804-39cd0d1767af,02df916f-c258-4458-9bfd-eb50c6380a7b,71c602d0-f23f-497c-8f6c-4062f2cf80b1,671,92,579,TRUE,2026-03-31T23:46:40.129Z
a5828ae5-59c4-4f6c-ace6-c151bc901039,02df916f-c258-4458-9bfd-eb50c6380a7b,ab25256e-88cf-4ff7-bd61-edda8007d71a,248,63,185,TRUE,2026-03-31T23:46:40.129Z
6013c42b-213f-44a4-9735-fd24bbc30469,02df916f-c258-4458-9bfd-eb50c6380a7b,f2c168a0-181f-49bc-86a4-569d028cceea,921,13,908,TRUE,2026-03-31T23:46:40.129Z
159f189e-7bcd-49c6-90cf-86de1d537803,02df916f-c258-4458-9bfd-eb50c6380a7b,fa376211-456f-4a9e-ad46-a40134a2461e,586,91,495,TRUE,2026-03-31T23:46:40.129Z
29052909-b5d4-4ca6-9aa2-bb096f79c7a1,03122204-f02b-4d9c-9699-8647f508a0a6,0be20826-4508-4289-bbe3-6e8ea40d319f,211,68,143,TRUE,2026-03-31T23:46:40.129Z
34891eb5-f536-46d2-aef4-9aaa737e988d,03122204-f02b-4d9c-9699-8647f508a0a6,22fa3081-f12d-4339-b7ad-7d4c7a37ab81,311,86,225,TRUE,2026-03-31T23:46:40.129Z
654f4999-9171-4a6f-bac1-c5b8cac132f6,03122204-f02b-4d9c-9699-8647f508a0a6,4cdb9879-baa6-4a5c-a057-a889b29b98a6,934,18,916,TRUE,2026-03-31T23:46:40.129Z
dbfa4ecd-7737-48ba-b5dc-eafdfd4e32f1,03122204-f02b-4d9c-9699-8647f508a0a6,4dbdc63c-477e-4512-9e36-968baf8ddb19,930,55,875,TRUE,2026-03-31T23:46:40.129Z
1f02e010-ed5e-4fe9-bbe4-489a59fc2885,03122204-f02b-4d9c-9699-8647f508a0a6,5402f03e-c709-45c6-9dc9-66bad26bbe0c,81,81,10,TRUE,2026-03-31T23:46:40.129Z
597b4565-1c7a-4bb1-a296-1cfe278dc83d,03122204-f02b-4d9c-9699-8647f508a0a6,5ead5382-36cb-4d13-9dfd-d42584b2a819,614,16,598,TRUE,2026-03-31T23:46:40.129Z
